date,value
17/11/2020,522070
18/11/2020,584404
19/11/2020,623134
20/11/2020,640252
21/11/2020,679246
22/11/2020,572279
23/11/2020,518260
24/11/2020,534370
25/11/2020,562359
26/11/2020,647881
27/11/2020,571827
28/11/2020,649373
29/11/2020,595768
30/11/2020,516616
01/12/2020,501937
02/12/2020,591801
03/12/2020,657717
04/12/2020,681109
05/12/2020,683363
06/12/2020,634276
07/12/2020,546373
08/12/2020,526221
09/12/2020,626355
10/12/2020,676114
11/12/2020,693352
12/12/2020,657140
13/12/2020,626421
14/12/2020,540659
